ID,Gender,Age,Marital Status,Job,Employment Status,Your Phone Model,Your bank information,How many years you are using internet banking application,How many years you are using mobile banking application,Do you find mobile application user-friendly,Internet banking usage frequency,Mobile banking usage frequency,Credit card debt inquiry,Credit card debt payment,Credit card limit transactions,Create & delete virtual card,Virtual card limit transactions,An additional new card application,Opening a new account,Balance check,Loan transaction,Transfer money to previously transferred account.,Transfer money to new account.,Invoice payment (If it is automatic payment than choose once in a day),Government payments,GSM transactions,Rent payment,Lottery transactions,HGS / OGS transactions,Tax / penalty transactions,SGK transactions,Bill transactions,Salary payment,Investment account transactions,Foreign money exchange transactions,Gold transactions,Investment fund transactions,Stock transactions,Public offering operations,Repo transactions,Bond transactions,Instant stock exchange transactions,Consumer credit usage,My credit accounts,Applying for mortgage ,Applying for car loan,Findeks risk report,New card application,New account opening,Request status,Foreign exchange calculation,Loan calculation,Make an appointment at a bank branch,Donate transactions,View payment schedule,View bank campaigns,Mobile signature use,Communicating with the bank
174,Man,41-45,Married,artisan,Private sector,Iphone 5S,0,5+,4+,Yes,Once in a day,Once in a day,Once or several times a year,Several times in a month,Once in a month,Never,Never,Once or several times a year,Once or several times a year,Several times in a month,Never,Once or several times a year,Once or several times a year,Once in a month,Once in a month,Once in a month,Never,Never,Once in a month,Never,Once or several times a year,Never,Never,Once or several times a year,Several times in a month,Never,Never,Never,Never,Never,Never,Once or several times a year,Several times in a month,Several times in a month,Never,Never,Once in a month,Never,Once or several times a year,Never,Never,Once or several times a year,Never,Once or several times a year,Once or several times a year,Once or several times a year,Never,Several times in a month
175,Woman,20-24,Single,Teller,Private sector,HTC ,0,0-5,0-3,Yes,Once in a day,Once in a day,Several times in a week,Several times in a month,Once in a month,Once or several times a year,Never,Never,I Prefer Internet Banking,Several times in a week,Once in a month,Several times in a month,Several times in a month, Once in a day,Several times in a week,Several times in a week,Once in a month,Never,Once or several times a year,Once or several times a year,Once in a month,Once or several times a year,Once in a month,Several times in a month,Several times in a month,Never,Once or several times a year,Several times in a day,Several times in a day,Never,Several times in a month,Never,Once or several times a year,Once in a month,Once or several times a year,Once or several times a year,Never,Never,Never,I Prefer Internet Banking,Several times in a month,Several times in a month,I Prefer Internet Banking,Once or several times a year,Once or several times a year,Several times in a month,Once in a week,Once in a month
176,Woman,36-40,Married,Not working ,Not working ,LG,0,5+,0-3,No,Once in a month,Once in a month,Once or several times a year,Once or several times a year,Once or several times a year,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once or several times a year,Never,Once or several times a year,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
177,Woman,25-30,Married,Nurse,Private sector,Samsung,0,0-5,0-3,No,Once in a week,Once in a week,Several times in a week,Several times in a week,Several times in a week,Never,Once in a month,Several times in a month,Once in a month,Several times in a month,Once in a month,Once in a month,Several times in a week,0,Once in a month,Several times in a month,Once in a month,Once in a month,Never,Once or several times a year,Once in a month,Once or several times a year,Never,Never,Never,Never,Never,Once or several times a year,I Prefer Internet Banking,I Prefer Internet Banking,Never,Once or several times a year,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,0,Never,Never,Never,Never,Never,I Prefer Internet Banking,Once in a month,Never,Once in a month
178,Man,41-45,Married,Not working ,Public institution ,Casper,0,15+,7+,Yes,Several times in a month,Several times in a month,Once in a month,Once in a month,Once in a month,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Never,Never,Once in a month,Once in a month,Once in a month,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never
179,Woman,25-30,Married,Doctor,Public institution ,Iphone,0,5+,4+,Yes,Several times in a week,Several times in a week,Once in a month,Once in a month,Several times in a month,Never,Never,Never,I Prefer Internet Banking,Once in a month,Once or several times a year,Several times in a month,Several times in a month,Several times in a week,Once in a month,Once in a month,Once in a month,Never,Several times in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Several times in a month,Several times in a month,Once in a month,Never,I Prefer Internet Banking,Never,Once or several times a year,Once in a month,Once or several times a year,Once in a month,0,Once or several times a year,I Prefer Internet Banking,Never,Once or several times a year,Once or several times a year,Never,Once or several times a year,Once or several times a year,Several times in a month,Once in a month,Once in a week,Once in a week,Several times in a month
180,Woman,36-40,Married,teacher,Private sector,ASUS,0,5+,0-3,Yes,Once in a week,Once in a week,Once in a month,Once in a month,Once in a month,Never,Never,Once or several times a year,Once in a month,Once in a month,Never,Once in a month,Once in a month,Several times in a month,Several times in a month,Once in a month,Once in a month,Never,Once in a month,Once or several times a year,Once in a month,Never,Once in a month,Never,Once or several times a year,Never,Never,Never,Never,Never,Never,Once or several times a year,Once in a month,Never,Once or several times a year,Once or several times a year,Never,Never,Never,Never,Once or several times a year,Once in a month,Several times in a month,Once or several times a year,Once in a week,Once in a week,Once in a week,Once in a month
181,Man,31-35,Married,Nurse,Public institution ,Samsung,0,0-5,0-3,Yes,Several times in a month,Several times in a month,Once in a month,Once in a month,Once or several times a year,Never,Never,Never,Never,Once in a month,Once in a month,Once in a month,Once in a month, Once in a day,Once in a month,Once in a month,Once in a month,Never,Once in a month,Once in a month,Once in a month,Never,Once in a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once in a month,0,Once or several times a year,Once or several times a year,Never,Never,Never,Never,Never,Once or several times a year,Once in a month,0,Once in a month,Once in a month,Once in a month,Several times in a month
182,Woman,20-24,Single,Electrical Engineer,Private sector,Xperia,0,0-5,0-3,Yes,Several times in a week,Several times in a week,Once in a month,Once in a month,Once or several times a year,Never,Never,Once or several times a year,Once or several times a year,Once in a month,Several times in a month,Several times in a month,Several times in a month, Once in a day,Once in a month,Once in a month,Once in a month,Never,Several times in a month,Several times in a month,Once in a month,Once or several times a year,Once in a month,Once or several times a year,Several times in a month,Once in a month,Several times in a month,Never,Once or several times a year,Never,Once or several times a year,Once in a week,Once in a month,Once in a month,Once in a month,Once in a month,Once or several times a year,Never,Never,Several times in a month,Once in a week,Several times in a month,Once in a week,Once in a month,Several times in a month,Several times in a month,Once in a week,Once in a month
183,Woman,31-35,Married,Computer engineer,Public institution ,LG,0,5+,4+,Yes,Once in a month,Once in a month,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Never,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,I Prefer Internet Banking,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,Once in a month,I Prefer Internet Banking,I Prefer Internet Banking,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
